date,average,ticker,industry
2019-08,70.748,RTX,Industrials
2019-09,75.339,RTX,Industrials
2019-10,76.286,RTX,Industrials
2019-11,82.557,RTX,Industrials
2019-12,82.647,RTX,Industrials
2020-01,85.443,RTX,Industrials
2020-02,83.578,RTX,Industrials
2020-03,58.442,RTX,Industrials
2020-04,55.337,RTX,Industrials
2020-05,53.061,RTX,Industrials
2020-06,59.075,RTX,Industrials
2020-07,54.917,RTX,Industrials
2020-08,55.588,RTX,Industrials
2020-09,54.486,RTX,Industrials
2020-10,53.687,RTX,Industrials
2020-11,60.545,RTX,Industrials
2020-12,65.338,RTX,Industrials
2021-01,62.834,RTX,Industrials
2021-02,66.285,RTX,Industrials
2021-03,70.542,RTX,Industrials
2021-04,72.772,RTX,Industrials
2021-05,78.655,RTX,Industrials
2021-06,81.066,RTX,Industrials
2021-07,79.278,RTX,Industrials
2021-08,79.84,RTX,Industrials
2021-09,78.648,RTX,Industrials
2021-10,83.598,RTX,Industrials
2021-11,81.654,RTX,Industrials
2021-12,78.574,RTX,Industrials
2022-01,83.969,RTX,Industrials
2022-02,88.458,RTX,Industrials
2022-03,93.424,RTX,Industrials
2022-04,94.849,RTX,Industrials
2022-05,88.091,RTX,Industrials
2022-06,89.225,RTX,Industrials
2022-07,88.147,RTX,Industrials
2022-08,88.501,RTX,Industrials
2022-09,80.794,RTX,Industrials
2022-10,82.78,RTX,Industrials
2022-11,91.42,RTX,Industrials
2022-12,95.089,RTX,Industrials
2023-01,94.774,RTX,Industrials
2023-02,95.17,RTX,Industrials
2023-03,93.726,RTX,Industrials
2023-04,97.19,RTX,Industrials
2023-05,92.278,RTX,Industrials
2023-06,94.406,RTX,Industrials
2023-07,91.497,RTX,Industrials
2023-08,83.368,RTX,Industrials
2023-09,74.693,RTX,Industrials
2023-10,72.427,RTX,Industrials
2023-11,79.349,RTX,Industrials
2023-12,80.972,RTX,Industrials
2024-01,85.585,RTX,Industrials
2024-02,89.503,RTX,Industrials
2024-03,91.838,RTX,Industrials
2024-04,99.57,RTX,Industrials
2024-05,103.815,RTX,Industrials
2024-06,104.481,RTX,Industrials
2024-07,104.563,RTX,Industrials
2024-08,117.433,RTX,Industrials
2024-09,119.807,RTX,Industrials
2024-10,124.875,RTX,Industrials
1981-12,2.531,NOC,Industrials
1982-01,2.282,NOC,Industrials
1982-02,2.288,NOC,Industrials
1982-03,2.144,NOC,Industrials
1982-04,2.327,NOC,Industrials
1982-05,2.5,NOC,Industrials
1982-06,2.434,NOC,Industrials
1982-07,2.516,NOC,Industrials
1982-08,2.614,NOC,Industrials
1982-09,2.997,NOC,Industrials
1982-10,3.312,NOC,Industrials
1982-11,3.276,NOC,Industrials
1982-12,3.608,NOC,Industrials
1983-01,3.722,NOC,Industrials
1983-02,3.652,NOC,Industrials
1983-03,3.742,NOC,Industrials
1983-04,3.793,NOC,Industrials
1983-05,4.335,NOC,Industrials
1983-06,4.632,NOC,Industrials
1983-07,4.564,NOC,Industrials
1983-08,4.481,NOC,Industrials
1983-09,4.163,NOC,Industrials
1983-10,4.187,NOC,Industrials
1983-11,4.337,NOC,Industrials
1983-12,4.283,NOC,Industrials
1984-01,4.614,NOC,Industrials
1984-02,4.246,NOC,Industrials
1984-03,3.93,NOC,Industrials
1984-04,3.937,NOC,Industrials
1984-05,4.284,NOC,Industrials
1984-06,4.615,NOC,Industrials
1984-07,4.742,NOC,Industrials
1984-08,5.449,NOC,Industrials
1984-09,5.499,NOC,Industrials
1984-10,5.126,NOC,Industrials
1984-11,5.537,NOC,Industrials
1984-12,5.425,NOC,Industrials
1985-01,5.378,NOC,Industrials
1985-02,6.258,NOC,Industrials
1985-03,6.598,NOC,Industrials
1985-04,7.147,NOC,Industrials
1985-05,7.231,NOC,Industrials
1985-06,8.055,NOC,Industrials
1985-07,8.434,NOC,Industrials
1985-08,8.296,NOC,Industrials
1985-09,7.874,NOC,Industrials
1985-10,7.021,NOC,Industrials
1985-11,7.146,NOC,Industrials
1985-12,7.278,NOC,Industrials
1986-01,6.841,NOC,Industrials
1986-02,6.891,NOC,Industrials
1986-03,7.839,NOC,Industrials
1986-04,7.807,NOC,Industrials
1986-05,7.906,NOC,Industrials
1986-06,7.829,NOC,Industrials
1986-07,7.504,NOC,Industrials
1986-08,7.369,NOC,Industrials
1986-09,7.186,NOC,Industrials
1986-10,7.434,NOC,Industrials
1986-11,7.11,NOC,Industrials
1986-12,6.611,NOC,Industrials
1987-01,6.792,NOC,Industrials
1987-02,7.203,NOC,Industrials
1987-03,7.844,NOC,Industrials
1987-04,8.082,NOC,Industrials
1987-05,7.32,NOC,Industrials
1987-06,7.173,NOC,Industrials
1987-07,7.588,NOC,Industrials
1987-08,8.26,NOC,Industrials
1987-09,7.941,NOC,Industrials
1987-10,6.842,NOC,Industrials
1987-11,4.984,NOC,Industrials
1987-12,4.446,NOC,Industrials
1988-01,4.891,NOC,Industrials
1988-02,5.021,NOC,Industrials
1988-03,5.195,NOC,Industrials
1988-04,5.019,NOC,Industrials
1988-05,4.982,NOC,Industrials
1988-06,5.103,NOC,Industrials
1988-07,5.336,NOC,Industrials
1988-08,5.241,NOC,Industrials
1988-09,5.314,NOC,Industrials
1988-10,5.754,NOC,Industrials
1988-11,5.908,NOC,Industrials
1988-12,5.034,NOC,Industrials
1989-01,4.806,NOC,Industrials
1989-02,4.901,NOC,Industrials
1989-03,5.021,NOC,Industrials
1989-04,4.914,NOC,Industrials
1989-05,4.705,NOC,Industrials
1989-06,4.72,NOC,Industrials
1989-07,4.723,NOC,Industrials
1989-08,4.589,NOC,Industrials
1989-09,4.299,NOC,Industrials
1989-10,3.923,NOC,Industrials
1989-11,3.331,NOC,Industrials
1989-12,3.243,NOC,Industrials
1990-01,3.34,NOC,Industrials
1990-02,3.202,NOC,Industrials
1990-03,3.092,NOC,Industrials
1990-04,3.056,NOC,Industrials
1990-05,3.314,NOC,Industrials
1990-06,3.575,NOC,Industrials
1990-07,3.329,NOC,Industrials
1990-08,3.037,NOC,Industrials
1990-09,3.248,NOC,Industrials
1990-10,3.129,NOC,Industrials
1990-11,3.16,NOC,Industrials
1990-12,3.72,NOC,Industrials
1991-01,3.79,NOC,Industrials
1991-02,4.931,NOC,Industrials
1991-03,5.499,NOC,Industrials
1991-04,5.476,NOC,Industrials
1991-05,4.692,NOC,Industrials
1991-06,5.306,NOC,Industrials
1991-07,5.705,NOC,Industrials
1991-08,6.011,NOC,Industrials
1991-09,5.096,NOC,Industrials
1991-10,4.988,NOC,Industrials
1991-11,4.87,NOC,Industrials
1991-12,4.626,NOC,Industrials
1992-01,5.382,NOC,Industrials
1992-02,5.435,NOC,Industrials
1992-03,5.25,NOC,Industrials
1992-04,5.462,NOC,Industrials
1992-05,5.454,NOC,Industrials
1992-06,5.466,NOC,Industrials
1992-07,5.827,NOC,Industrials
1992-08,5.631,NOC,Industrials
1992-09,5.283,NOC,Industrials
1992-10,5.286,NOC,Industrials
1992-11,5.854,NOC,Industrials
1992-12,7.24,NOC,Industrials
1993-01,7.504,NOC,Industrials
1993-02,7.077,NOC,Industrials
1993-03,7.838,NOC,Industrials
1993-04,8.43,NOC,Industrials
1993-05,8.647,NOC,Industrials
1993-06,8.954,NOC,Industrials
1993-07,9.255,NOC,Industrials
1993-08,8.714,NOC,Industrials
1993-09,8.064,NOC,Industrials
1993-10,7.982,NOC,Industrials
1993-11,8.273,NOC,Industrials
1993-12,8.54,NOC,Industrials
1994-01,8.89,NOC,Industrials
1994-02,9.112,NOC,Industrials
1994-03,9.799,NOC,Industrials
1994-04,8.799,NOC,Industrials
1994-05,8.528,NOC,Industrials
1994-06,8.86,NOC,Industrials
1994-07,9.244,NOC,Industrials
1994-08,10.27,NOC,Industrials
1994-09,10.605,NOC,Industrials
1994-10,10.838,NOC,Industrials
1994-11,10.31,NOC,Industrials
1994-12,10.062,NOC,Industrials
1995-01,9.92,NOC,Industrials
1995-02,10.267,NOC,Industrials
1995-03,11.495,NOC,Industrials
1995-04,12.159,NOC,Industrials
1995-05,12.158,NOC,Industrials
1995-06,12.858,NOC,Industrials
1995-07,13.506,NOC,Industrials
1995-08,14.422,NOC,Industrials
1995-09,15.119,NOC,Industrials
1995-10,14.503,NOC,Industrials
1995-11,14.514,NOC,Industrials
1995-12,15.548,NOC,Industrials
1996-01,15.248,NOC,Industrials
1996-02,16.23,NOC,Industrials
1996-03,15.588,NOC,Industrials
1996-04,15.084,NOC,Industrials
1996-05,15.362,NOC,Industrials
1996-06,17.005,NOC,Industrials
1996-07,17.057,NOC,Industrials
1996-08,18.052,NOC,Industrials
1996-09,18.701,NOC,Industrials
1996-10,19.918,NOC,Industrials
1996-11,20.736,NOC,Industrials
1996-12,20.589,NOC,Industrials
1997-01,19.899,NOC,Industrials
1997-02,19.057,NOC,Industrials
1997-03,19.13,NOC,Industrials
1997-04,20.066,NOC,Industrials
1997-05,21.626,NOC,Industrials
1997-06,21.8,NOC,Industrials
1997-07,28.377,NOC,Industrials
1997-08,29.813,NOC,Industrials
1997-09,31.205,NOC,Industrials
1997-10,30.055,NOC,Industrials
1997-11,27.947,NOC,Industrials
1997-12,28.827,NOC,Industrials
1998-01,30.88,NOC,Industrials
1998-02,33.825,NOC,Industrials
1998-03,29.93,NOC,Industrials
1998-04,27.712,NOC,Industrials
1998-05,27.866,NOC,Industrials
1998-06,26.911,NOC,Industrials
1998-07,24.773,NOC,Industrials
1998-08,18.488,NOC,Industrials
1998-09,16.929,NOC,Industrials
1998-10,19.822,NOC,Industrials
1998-11,21.357,NOC,Industrials
1998-12,19.573,NOC,Industrials
1999-01,16.754,NOC,Industrials
1999-02,16.61,NOC,Industrials
1999-03,16.492,NOC,Industrials
1999-04,16.513,NOC,Industrials
1999-05,18.069,NOC,Industrials
1999-06,17.605,NOC,Industrials
1999-07,19.385,NOC,Industrials
1999-08,18.874,NOC,Industrials
1999-09,17.741,NOC,Industrials
1999-10,15.314,NOC,Industrials
1999-11,14.685,NOC,Industrials
1999-12,14.139,NOC,Industrials
2000-01,13.961,NOC,Industrials
2000-02,12.8,NOC,Industrials
2000-03,13.697,NOC,Industrials
2000-04,16.911,NOC,Industrials
2000-05,20.539,NOC,Industrials
2000-06,20.056,NOC,Industrials
2000-07,18.989,NOC,Industrials
2000-08,20.739,NOC,Industrials
2000-09,22.968,NOC,Industrials
2000-10,24.066,NOC,Industrials
2000-11,22.24,NOC,Industrials
2000-12,22.435,NOC,Industrials
2001-01,23.669,NOC,Industrials
2001-02,24.89,NOC,Industrials
2001-03,25.282,NOC,Industrials
2001-04,25.437,NOC,Industrials
2001-05,24.994,NOC,Industrials
2001-06,23.628,NOC,Industrials
2001-07,22.226,NOC,Industrials
2001-08,22.552,NOC,Industrials
2001-09,26.164,NOC,Industrials
2001-10,29.32,NOC,Industrials
2001-11,26.674,NOC,Industrials
2001-12,27.136,NOC,Industrials
2002-01,28.315,NOC,Industrials
2002-02,31.156,NOC,Industrials
2002-03,30.72,NOC,Industrials
2002-04,32.747,NOC,Industrials
2002-05,34.616,NOC,Industrials
2002-06,35.161,NOC,Industrials
2002-07,31.404,NOC,Industrials
2002-08,32.608,NOC,Industrials
2002-09,35.49,NOC,Industrials
2002-10,31.57,NOC,Industrials
2002-11,27.23,NOC,Industrials
2002-12,27.337,NOC,Industrials
2003-01,27.233,NOC,Industrials
2003-02,25.967,NOC,Industrials
2003-03,24.15,NOC,Industrials
2003-04,24.319,NOC,Industrials
2003-05,25.518,NOC,Industrials
2003-06,25.015,NOC,Industrials
2003-07,25.477,NOC,Industrials
2003-08,26.933,NOC,Industrials
2003-09,26.611,NOC,Industrials
2003-10,25.113,NOC,Industrials
2003-11,26.315,NOC,Industrials
2003-12,27.166,NOC,Industrials
2004-01,28.563,NOC,Industrials
2004-02,29.696,NOC,Industrials
2004-03,28.493,NOC,Industrials
2004-04,29.125,NOC,Industrials
2004-05,29.313,NOC,Industrials
2004-06,30.9,NOC,Industrials
2004-07,31.503,NOC,Industrials
2004-08,30.435,NOC,Industrials
2004-09,30.724,NOC,Industrials
2004-10,30.398,NOC,Industrials
2004-11,32.509,NOC,Industrials
2004-12,33.331,NOC,Industrials
2005-01,30.977,NOC,Industrials
2005-02,31.3,NOC,Industrials
2005-03,31.838,NOC,Industrials
2005-04,32.568,NOC,Industrials
2005-05,32.743,NOC,Industrials
2005-06,33.324,NOC,Industrials
2005-07,33.166,NOC,Industrials
2005-08,33.244,NOC,Industrials
2005-09,33.358,NOC,Industrials
2005-10,32.111,NOC,Industrials
2005-11,33.613,NOC,Industrials
2005-12,35.45,NOC,Industrials
2006-01,36.846,NOC,Industrials
2006-02,38.857,NOC,Industrials
2006-03,40.888,NOC,Industrials
2006-04,41.804,NOC,Industrials
2006-05,40.411,NOC,Industrials
2006-06,38.446,NOC,Industrials
2006-07,39.431,NOC,Industrials
2006-08,39.897,NOC,Industrials
2006-09,41.573,NOC,Industrials
2006-10,41.75,NOC,Industrials
2006-11,40.483,NOC,Industrials
2006-12,41.401,NOC,Industrials
2007-01,42.728,NOC,Industrials
2007-02,45.292,NOC,Industrials
2007-03,45.313,NOC,Industrials
2007-04,46.272,NOC,Industrials
2007-05,46.444,NOC,Industrials
2007-06,47.52,NOC,Industrials
2007-07,48.1,NOC,Industrials
2007-08,48.037,NOC,Industrials
2007-09,48.939,NOC,Industrials
2007-10,49.867,NOC,Industrials
2007-11,50.47,NOC,Industrials
2007-12,50.362,NOC,Industrials
2008-01,49.382,NOC,Industrials
2008-02,49.883,NOC,Industrials
2008-03,49.658,NOC,Industrials
2008-04,46.938,NOC,Industrials
2008-05,47.139,NOC,Industrials
2008-06,44.879,NOC,Industrials
2008-07,41.976,NOC,Industrials
2008-08,43.805,NOC,Industrials
2008-09,42.32,NOC,Industrials
2008-10,30.213,NOC,Industrials
2008-11,26.326,NOC,Industrials
2008-12,26.745,NOC,Industrials
2009-01,30.742,NOC,Industrials
2009-02,28.753,NOC,Industrials
2009-03,25.091,NOC,Industrials
2009-04,30.34,NOC,Industrials
2009-05,31.688,NOC,Industrials
2009-06,30.936,NOC,Industrials
2009-07,29.512,NOC,Industrials
2009-08,31.397,NOC,Industrials
2009-09,33.059,NOC,Industrials
2009-10,33.348,NOC,Industrials
2009-11,35.765,NOC,Industrials
2009-12,37.079,NOC,Industrials
2010-01,38.142,NOC,Industrials
2010-02,39.714,NOC,Industrials
2010-03,43.214,NOC,Industrials
2010-04,44.953,NOC,Industrials
2010-05,42.448,NOC,Industrials
2010-06,39.962,NOC,Industrials
2010-07,38.066,NOC,Industrials
2010-08,38.669,NOC,Industrials
2010-09,39.954,NOC,Industrials
2010-10,41.967,NOC,Industrials
2010-11,43.162,NOC,Industrials
2010-12,44.097,NOC,Industrials
2011-01,46.533,NOC,Industrials
2011-02,47.479,NOC,Industrials
2011-03,46.387,NOC,Industrials
2011-04,47.529,NOC,Industrials
2011-05,49.621,NOC,Industrials
2011-06,50.171,NOC,Industrials
2011-07,50.728,NOC,Industrials
2011-08,41.053,NOC,Industrials
2011-09,40.995,NOC,Industrials
2011-10,42.502,NOC,Industrials
2011-11,44.184,NOC,Industrials
2011-12,44.674,NOC,Industrials
2012-01,46.478,NOC,Industrials
2012-02,46.981,NOC,Industrials
2012-03,48.195,NOC,Industrials
2012-04,48.816,NOC,Industrials
2012-05,47.723,NOC,Industrials
2012-06,48.351,NOC,Industrials
2012-07,51.318,NOC,Industrials
2012-08,54.208,NOC,Industrials
2012-09,53.84,NOC,Industrials
2012-10,55.719,NOC,Industrials
2012-11,53.307,NOC,Industrials
2012-12,54.975,NOC,Industrials
2013-01,54.804,NOC,Industrials
2013-02,53.315,NOC,Industrials
2013-03,55.134,NOC,Industrials
2013-04,58.86,NOC,Industrials
2013-05,65.294,NOC,Industrials
2013-06,68.205,NOC,Industrials
2013-07,72.361,NOC,Industrials
2013-08,77.879,NOC,Industrials
2013-09,79.507,NOC,Industrials
2013-10,83.394,NOC,Industrials
2013-11,91.764,NOC,Industrials
2013-12,93.037,NOC,Industrials
2014-01,96.521,NOC,Industrials
2014-02,98.262,NOC,Industrials
2014-03,102.786,NOC,Industrials
2014-04,101.156,NOC,Industrials
2014-05,101.124,NOC,Industrials
2014-06,102.939,NOC,Industrials
2014-07,104.242,NOC,Industrials
2014-08,105.893,NOC,Industrials
2014-09,110.583,NOC,Industrials
2014-10,108.408,NOC,Industrials
2014-11,117.352,NOC,Industrials
2014-12,124.845,NOC,Industrials
2015-01,130.009,NOC,Industrials
2015-02,141.804,NOC,Industrials
2015-03,138.399,NOC,Industrials
2015-04,138.858,NOC,Industrials
2015-05,134.931,NOC,Industrials
2015-06,138.61,NOC,Industrials
2015-07,143.079,NOC,Industrials
2015-08,146.783,NOC,Industrials
2015-09,144.229,NOC,Industrials
2015-10,152.762,NOC,Industrials
2015-11,160.886,NOC,Industrials
2015-12,163.507,NOC,Industrials
2016-01,161.034,NOC,Industrials
2016-02,164.182,NOC,Industrials
2016-03,167.897,NOC,Industrials
2016-04,176.301,NOC,Industrials
2016-05,186.388,NOC,Industrials
2016-06,189.293,NOC,Industrials
2016-07,193.198,NOC,Industrials
2016-08,189.987,NOC,Industrials
2016-09,187.771,NOC,Industrials
2016-10,192.597,NOC,Industrials
2016-11,212.937,NOC,Industrials
2016-12,209.462,NOC,Industrials
2017-01,204.885,NOC,Industrials
2017-02,211.114,NOC,Industrials
2017-03,214.139,NOC,Industrials
2017-04,215.131,NOC,Industrials
2017-05,221.472,NOC,Industrials
2017-06,229.075,NOC,Industrials
2017-07,234.255,NOC,Industrials
2017-08,240.323,NOC,Industrials
2017-09,245.562,NOC,Industrials
2017-10,263.524,NOC,Industrials
2017-11,269.623,NOC,Industrials
2017-12,273.49,NOC,Industrials
2018-01,284.444,NOC,Industrials
2018-02,308.062,NOC,Industrials
2018-03,310.256,NOC,Industrials
2018-04,312.17,NOC,Industrials
2018-05,291.037,NOC,Industrials
2018-06,290.596,NOC,Industrials
2018-07,281.707,NOC,Industrials
2018-08,267.729,NOC,Industrials
2018-09,278.472,NOC,Industrials
2018-10,271.765,NOC,Industrials
2018-11,246.648,NOC,Industrials
2018-12,229.939,NOC,Industrials
2019-01,238.356,NOC,Industrials
2019-02,258.583,NOC,Industrials
2019-03,250.757,NOC,Industrials
2019-04,255.148,NOC,Industrials
2019-05,275.78,NOC,Industrials
2019-06,288.858,NOC,Industrials
2019-07,304.229,NOC,Industrials
2019-08,333.795,NOC,Industrials
2019-09,340.065,NOC,Industrials
2019-10,330.882,NOC,Industrials
2019-11,322.924,NOC,Industrials
2019-12,319.183,NOC,Industrials
2020-01,348.687,NOC,Industrials
2020-02,332.372,NOC,Industrials
2020-03,288.522,NOC,Industrials
2020-04,311.329,NOC,Industrials
2020-05,303.688,NOC,Industrials
2020-06,300.07,NOC,Industrials
2020-07,286.217,NOC,Industrials
2020-08,314.842,NOC,Industrials
2020-09,313.412,NOC,Industrials
2020-10,289.417,NOC,Industrials
2020-11,288.501,NOC,Industrials
2020-12,283.291,NOC,Industrials
2021-01,278.452,NOC,Industrials
2021-02,281.008,NOC,Industrials
2021-03,291.626,NOC,Industrials
2021-04,321.877,NOC,Industrials
2021-05,349.391,NOC,Industrials
2021-06,351.653,NOC,Industrials
2021-07,345.971,NOC,Industrials
2021-08,345.491,NOC,Industrials
2021-09,339.55,NOC,Industrials
2021-10,368.407,NOC,Industrials
2021-11,341.373,NOC,Industrials
2021-12,357.393,NOC,Industrials
2022-01,378.65,NOC,Industrials
2022-02,372.445,NOC,Industrials
2022-03,430.682,NOC,Industrials
2022-04,437.924,NOC,Industrials
2022-05,440.046,NOC,Industrials
2022-06,448.357,NOC,Industrials
2022-07,447.197,NOC,Industrials
2022-08,465.601,NOC,Industrials
2022-09,467.419,NOC,Industrials
2022-10,491.382,NOC,Industrials
2022-11,505.934,NOC,Industrials
2022-12,520.353,NOC,Industrials
2023-01,460.906,NOC,Industrials
2023-02,448.342,NOC,Industrials
2023-03,446.173,NOC,Industrials
2023-04,458.085,NOC,Industrials
2023-05,431.507,NOC,Industrials
2023-06,442.05,NOC,Industrials
2023-07,443.369,NOC,Industrials
2023-08,425.358,NOC,Industrials
2023-09,424.613,NOC,Industrials
2023-10,460.433,NOC,Industrials
2023-11,460.589,NOC,Industrials
2023-12,464.68,NOC,Industrials
2024-01,458.576,NOC,Industrials
2024-02,447.756,NOC,Industrials
2024-03,460.197,NOC,Industrials
2024-04,460.691,NOC,Industrials
2024-05,464.849,NOC,Industrials
2024-06,432.44,NOC,Industrials
2024-07,443.483,NOC,Industrials
2024-08,501.707,NOC,Industrials
2024-09,523.025,NOC,Industrials
2024-10,530.713,NOC,Industrials
1962-01,0.601,GE,Industrials
1962-02,0.629,GE,Industrials
1962-03,0.646,GE,Industrials
1962-04,0.62,GE,Industrials
1962-05,0.582,GE,Industrials
1962-06,0.513,GE,Industrials
1962-07,0.537,GE,Industrials
1962-08,0.568,GE,Industrials
1962-09,0.561,GE,Industrials
1962-10,0.565,GE,Industrials
1962-11,0.615,GE,Industrials
1962-12,0.65,GE,Industrials
1963-01,0.67,GE,Industrials
1963-02,0.662,GE,Industrials
1963-03,0.634,GE,Industrials
1963-04,0.666,GE,Industrials
1963-05,0.705,GE,Industrials
1963-06,0.702,GE,Industrials
1963-07,0.683,GE,Industrials
1963-08,0.699,GE,Industrials
1963-09,0.711,GE,Industrials
1963-10,0.702,GE,Industrials
1963-11,0.699,GE,Industrials
1963-12,0.737,GE,Industrials
1964-01,0.756,GE,Industrials
1964-02,0.77,GE,Industrials
1964-03,0.775,GE,Industrials
1964-04,0.761,GE,Industrials
1964-05,0.73,GE,Industrials
1964-06,0.708,GE,Industrials
1964-07,0.742,GE,Industrials
1964-08,0.737,GE,Industrials
1964-09,0.784,GE,Industrials
1964-10,0.789,GE,Industrials
1964-11,0.803,GE,Industrials
1964-12,0.821,GE,Industrials
1965-01,0.869,GE,Industrials
1965-02,0.882,GE,Industrials
1965-03,0.913,GE,Industrials
1965-04,0.927,GE,Industrials
1965-05,0.947,GE,Industrials
1965-06,0.886,GE,Industrials
1965-07,0.901,GE,Industrials
1965-08,0.94,GE,Industrials
1965-09,1.022,GE,Industrials
1965-10,1.075,GE,Industrials
1965-11,1.057,GE,Industrials
1965-12,1.057,GE,Industrials
1966-01,1.081,GE,Industrials
1966-02,1.033,GE,Industrials
1966-03,1.01,GE,Industrials
1966-04,1.043,GE,Industrials
1966-05,0.997,GE,Industrials
1966-06,1.019,GE,Industrials
1966-07,0.974,GE,Industrials
1966-08,0.848,GE,Industrials
1966-09,0.806,GE,Industrials
1966-10,0.848,GE,Industrials
1966-11,0.915,GE,Industrials
1966-12,0.883,GE,Industrials
1967-01,0.834,GE,Industrials
1967-02,0.824,GE,Industrials
1967-03,0.847,GE,Industrials
1967-04,0.857,GE,Industrials
1967-05,0.861,GE,Industrials
1967-06,0.836,GE,Industrials
1967-07,0.929,GE,Industrials
1967-08,1.028,GE,Industrials
1967-09,1.078,GE,Industrials
1967-10,1.057,GE,Industrials
1967-11,0.984,GE,Industrials
1967-12,0.95,GE,Industrials
1968-01,0.911,GE,Industrials
1968-02,0.855,GE,Industrials
1968-03,0.847,GE,Industrials
1968-04,0.901,GE,Industrials
1968-05,0.884,GE,Industrials
1968-06,0.867,GE,Industrials
1968-07,0.839,GE,Industrials
1968-08,0.816,GE,Industrials
1968-09,0.845,GE,Industrials
1968-10,0.908,GE,Industrials
1968-11,0.95,GE,Industrials
1968-12,0.951,GE,Industrials
1969-01,0.908,GE,Industrials
1969-02,0.889,GE,Industrials
1969-03,0.887,GE,Industrials
1969-04,0.915,GE,Industrials
1969-05,0.958,GE,Industrials
1969-06,0.915,GE,Industrials
1969-07,0.87,GE,Industrials
1969-08,0.845,GE,Industrials
1969-09,0.851,GE,Industrials
1969-10,0.868,GE,Industrials
1969-11,0.843,GE,Industrials
1969-12,0.793,GE,Industrials
1970-01,0.756,GE,Industrials
1970-02,0.715,GE,Industrials
1970-03,0.745,GE,Industrials
1970-04,0.764,GE,Industrials
1970-05,0.685,GE,Industrials
1970-06,0.702,GE,Industrials
1970-07,0.76,GE,Industrials
1970-08,0.793,GE,Industrials
1970-09,0.843,GE,Industrials
1970-10,0.889,GE,Industrials
1970-11,0.907,GE,Industrials
1970-12,0.952,GE,Industrials
1971-01,1.026,GE,Industrials
1971-02,1.106,GE,Industrials
1971-03,1.17,GE,Industrials
1971-04,1.265,GE,Industrials
1971-05,1.281,GE,Industrials
1971-06,1.278,GE,Industrials
1971-07,1.234,GE,Industrials
1971-08,1.249,GE,Industrials
1971-09,1.343,GE,Industrials
1971-10,1.314,GE,Industrials
1971-11,1.23,GE,Industrials
1971-12,1.356,GE,Industrials
1972-01,1.366,GE,Industrials
1972-02,1.307,GE,Industrials
1972-03,1.383,GE,Industrials
